Session_ID,Station_ID,Vehicle_ID,Start_Time,End_Time,Energy_Consumed_kWh,Payment_Amount,Charging_Mode,Session_Status
900001,29808,67682,10/27/2024 12:08,10/27/2024 12:52,24.62,324.8,Normal,Completed
900002,17891,51229,7/28/2024 5:53,7/28/2024 7:53,25.77,370.04,Trickle,Scheduled
900003,19578,66957,6/10/2023 0:01,6/10/2023 0:36,47.66,651.38,Normal,Scheduled
900004,19493,69926,4/5/2024 17:16,4/5/2024 19:02,26.5,335.93,Fast,Completed
900005,16338,53292,8/29/2023 11:45,8/29/2023 14:30,25.12,625.62,Fast,Completed
900006,11535,68365,10/28/2024 14:48,10/28/2024 17:28,33.99,485.49,Fast,Interrupted
900007,24575,56589,6/15/2023 14:11,6/15/2023 16:34,41.35,454.31,Trickle,Interrupted
900008,17079,63893,7/29/2024 4:59,7/29/2024 7:56,34.18,762.56,Trickle,Completed
900009,26728,58828,8/29/2024 8:06,8/29/2024 9:37,59.01,876.84,Fast,Scheduled
900010,13326,53626,4/9/2023 1:06,4/9/2023 3:56,46.87,846.29,Fast,Completed
900011,11186,61181,6/17/2024 3:39,6/17/2024 5:33,44.69,537.29,Fast,Scheduled
900012,25342,57661,12/10/2024 16:08,12/10/2024 16:49,30.09,393.52,Fast,Interrupted
900013,29063,67253,4/6/2023 13:59,4/6/2023 15:00,19.3,271.58,Fast,Scheduled
900014,25209,55332,1/3/2024 1:23,1/3/2024 2:15,37.7,693.8,Trickle,Completed
900015,19819,54224,3/18/2025 6:16,3/18/2025 8:29,47.09,598.36,Trickle,Scheduled
900016,16580,68073,5/4/2023 5:08,5/4/2023 5:41,21.64,512.81,Trickle,Completed
900017,11887,55088,3/9/2023 0:35,3/9/2023 3:35,56.4,1114.03,Fast,Completed
900018,10261,51243,7/27/2024 17:07,7/27/2024 17:57,35.25,401.1,Normal,Scheduled
900019,26233,53766,1/7/2023 20:41,1/7/2023 21:36,26.51,586.7,Normal,Interrupted
900020,13536,59997,8/23/2024 11:29,8/23/2024 14:00,19.55,337.15,Trickle,Interrupted
900021,11101,67429,6/3/2024 14:22,6/3/2024 16:15,9,165.76,Fast,Completed
900022,24359,66955,12/24/2023 21:42,12/24/2023 23:54,18.58,243.36,Normal,Interrupted
900023,13167,57134,9/15/2023 23:26,9/16/2023 2:23,49.16,677.21,Normal,Interrupted
900024,22947,51806,12/8/2024 5:15,12/8/2024 7:25,50.42,996.32,Normal,Interrupted
900025,26783,67262,9/25/2024 18:43,9/25/2024 20:10,6.54,138.64,Trickle,Interrupted
900026,24534,61523,11/5/2023 19:52,11/5/2023 21:34,18.02,450.46,Trickle,Interrupted
900027,12485,65358,6/11/2023 11:47,6/11/2023 14:14,14.73,261.37,Normal,Completed
900028,18924,62749,7/11/2023 18:50,7/11/2023 20:21,6.19,143.44,Normal,Interrupted
900029,25803,54647,11/18/2023 11:11,11/18/2023 11:44,29.18,410.94,Trickle,Scheduled
900030,25547,54960,3/20/2024 18:41,3/20/2024 20:21,40.22,592.44,Trickle,Completed
900031,23615,51125,12/25/2023 5:07,12/25/2023 8:07,5.18,73.92,Normal,Completed
900032,26316,64889,9/21/2024 18:56,9/21/2024 20:02,51.72,938.65,Trickle,Interrupted
900033,28810,59735,1/2/2024 2:28,1/2/2024 3:47,54.78,638.67,Trickle,Scheduled
900034,16769,56327,4/12/2025 13:09,4/12/2025 14:16,38.06,686.33,Normal,Interrupted
900035,18938,50985,12/21/2023 8:34,12/21/2023 10:15,41.63,751.8,Normal,Completed
900036,10735,61719,11/21/2024 21:37,11/21/2024 22:07,51.78,999.72,Trickle,Interrupted
900037,28305,63035,2/13/2024 0:18,2/13/2024 3:09,58.94,929.07,Fast,Interrupted
900038,10831,57983,9/22/2024 3:15,9/22/2024 4:46,42.35,1024.63,Normal,Scheduled
900039,29032,60524,8/24/2024 5:43,8/24/2024 8:25,12.03,272.12,Normal,Interrupted
900040,21311,55010,5/29/2024 15:55,5/29/2024 17:51,26,623.72,Trickle,Scheduled
900041,25028,50780,11/11/2024 4:16,11/11/2024 6:04,25.75,315.02,Fast,Scheduled
900042,19485,65015,3/12/2023 5:53,3/12/2023 8:50,55.59,1052.51,Fast,Scheduled
900043,10075,68798,4/27/2023 14:34,4/27/2023 15:08,52.23,580.48,Fast,Interrupted
900044,28916,58088,11/2/2023 5:48,11/2/2023 6:37,56.03,898.88,Trickle,Completed
900045,21706,64921,3/3/2025 14:16,3/3/2025 14:56,12.77,292.99,Normal,Scheduled
900046,14691,55569,4/1/2023 12:49,4/1/2023 13:25,26.78,333.61,Fast,Completed
900047,17117,62056,1/14/2025 4:47,1/14/2025 7:40,22.42,240.77,Fast,Scheduled
